,name,year,rating,vote,length,vote2
196,Relatos salvajes,2014,8.1,210K,2h 2m,210000
197,Sherlock Jr.,1924,8.2,54K,45m,54000
198,Dead Poets Society,1989,8.1,524K,2h 8m,524000
199,Mad Max: Fury Road,2015,8.1,1.1M,2h ,1100000
200,Mr. Smith Goes to Washington,1939,8.1,119K,2h 9m,119000
201,"Monsters, Inc.",2001,8.1,952K,1h 32m,952000
202,Jaws,1975,8.1,642K,2h 4m,642000
203,How to Train Your Dragon,2010,8.1,777K,1h 38m,777000
204,Mary and Max.,2009,8.1,183K,1h 32m,183000
205,Det sjunde inseglet,1957,8.1,194K,1h 36m,194000
206,Room,2015,8.1,439K,1h 58m,439000
207,極速傳奇：褔特決戰法拉利,2019,8.1,439K,2h 32m,439000
208,The Big Lebowski,1998,8.1,840K,1h 57m,840000
209,Tokyo Story,1953,8.1,66K,2h 16m,66000
210,Ratatouille,2007,8.1,791K,1h 51m,791000
211,Rocky,1976,8.1,611K,2h ,611000
212,Hotel Rwanda,2004,8.1,366K,2h 1m,366000
213,La passion de Jeanne d'Arc,1928,8.1,59K,1h 50m,59000
214,Logan,2017,8.1,806K,2h 17m,806000
215,Spotlight,2015,8.1,490K,2h 9m,490000
216,Platoon,1986,8.1,429K,2h ,429000
217,The Terminator,1984,8.1,902K,1h 47m,902000
218,Jai Bhim,2021,8.8,211K,2h 44m,211000
219,Before Sunset,2004,8.1,280K,1h 20m,280000
220,Rush,2013,8.1,501K,2h 3m,501000
221,Network,1976,8.1,166K,2h 1m,166000
222,Stand by Me,1986,8.1,428K,1h 29m,428000
223,The Best Years of Our Lives,1946,8.1,69K,2h 50m,69000
224,The Exorcist,1973,8.1,436K,2h 2m,436000
225,La haine,1995,8.1,188K,1h 38m,188000
226,The Wizard of Oz,1939,8.1,418K,1h 42m,418000
227,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,1.2M,2h 23m,1200000
228,Into the Wild,2007,8.1,644K,2h 28m,644000
229,The Incredibles,2004,8.0,781K,1h 55m,781000
230,To Be or Not to Be,1942,8.2,41K,1h 39m,41000
231,Hachi: A Dog's Tale,2009,8.1,302K,1h 33m,302000
232,Ah-ga-ssi,2016,8.1,164K,2h 25m,164000
233,Groundhog Day,1993,8.0,664K,1h 41m,664000
234,The Grapes of Wrath,1940,8.1,98K,2h 9m,98000
235,La battaglia di Algeri,1966,8.1,64K,2h 1m,64000
236,Babam ve Oglum,2005,8.2,90K,1h 52m,90000
237,Amores Perros,2000,8.1,249K,2h 34m,249000
238,Rebecca,1940,8.1,143K,2h 10m,143000
239,The Sound of Music,1965,8.1,250K,2h 52m,250000
240,Cool Hand Luke,1967,8.1,185K,2h 7m,185000
241,Pather Panchali,1955,8.2,36K,2h 5m,36000
242,The Iron Giant,1999,8.1,217K,1h 26m,217000
243,It Happened One Night,1934,8.1,109K,1h 45m,109000
244,The Help,2011,8.1,481K,2h 26m,481000
245,The 400 Blows,1959,8.1,125K,1h 39m,125000
246,Persona,1966,8.1,127K,1h 25m,127000
247,Life of Brian,1979,8.0,415K,1h 34m,415000
248,Aladdin,1992,8.0,450K,1h 30m,450000
249,Dances with Wolves,1990,8.0,282K,3h 1m,282000
