"MPG.City","Weight","Horsepower","Wheelbase","Price","Torque..foot.lbs..","Displacement..cu.in..","Pounds.HP","Cargo.Volume..EPA.","Passenger.Volume..EPA.","Fuel.Capacity","Combined.Fuel.Economy","Cylinders","Seating..Standard.","Transmission.Speeds","Transmission..Automatic.Manual.","Height","Length","Width","Track..Front.","Track..Rear.","Curb.Weight.AT","Curb.Weight.MT","MPG.Highway","Sales.Volume","Model","Model.Year","Type"
26,2.994,160,105.1,19300,161,144,18.7125,13,91,17.1,29,4,5,"5","M",55.7,187.6,71.3,61.1,61.2,NA,2994,34,398980,"2003.Honda.Accord.Coupe.LX.5-spd.MT.Current",2003,"Car/Sedan"
20,2.81,240,94.5,32600,153,122,11.7083333,NA,NA,13.2,23,4,2,"6","M",50.6,162.2,68.9,57.9,59.4,NA,2810,26,9684,"2003.Honda.S2000.6-spd.MT.Current",2003,"Sports.Car"
21,3.33,160,101.4,16100,161,144,20.8125,NA,NA,15.9,NA,4,4,"5","M",74,169.3,71.5,62.1,62.3,NA,3330,26,957,"2003.Honda.Element.DX.2WD.5-spd.MT.Current",2003,"SUV"
23,3.201,160,103.1,18900,162,144,20.00625,NA,NA,15.3,25,4,5,"4","A",66.2,178.6,70.2,60.4,60.6,3201,NA,28,146266,"2003.Honda.CR-V.LX.2WD.4-spd.AT.Current",2003,"Car/Sedan"
17,4.416,240,106.3,26900,242,212,18.4,NA,NA,19.2,19,6,8,"5","A",70.6,188,76.3,66.3,66.5,4416,NA,22,52062,"2003.Honda.Pilot.LX.5-spd.AT.Current",2003,"SUV"
18,4.299,240,118.1,24400,242,212,17.9125,NA,NA,20,21,6,7,"5","A",68.5,201.2,75.6,66.1,66.1,4299,NA,25,153467,"2003.Honda.Odyssey.LX.5-spd.AT.Current",2003,"Van"
NA,6.4,316,122.8,48455,360,364,20.2531646,NA,NA,32,NA,8,5,"4","A",77.8,189.8,81.2,69.4,69.4,6400,NA,NA,18861,"2003.HUMMER.H2.Sport.Utility.Current",2003,"Car/Sedan"
29,2.255,104,96.1,9999,106,98,21.6826923,12,89,11.9,31,4,5,"5","M",54.9,166.7,65.7,56.5,56.1,NA,2255,33,71488,"2003.Hyundai.Accent.3-door.Current",2003,"Car/Sedan"
24,2.6665,135,102.7,12899,132,121,19.7518519,13,95,14.5,28,4,5,"5","M",56.1,177.1,67.7,58.5,58.1,2698,2635,33,120638,"2003.Hyundai.Elantra.GLS.Current",2003,"Car/Sedan"
23,2.9685,134,99.6,16249,132,121,22.1529851,15,81,14.5,26,4,4,"5","M",52.3,173,69.3,58.7,58.7,2997,2940,31,19963,"2003.Hyundai.Tiburon.Base.Current",2003,"Car/Sedan"
22,3.199,138,106.3,15499,147,143,23.1811594,13,100,17.2,25,4,5,"5","M",56,186.9,71.7,60.6,60.2,3217,3181,30,68085,"2003.Hyundai.Sonata.Sedan.Current",2003,"Car/Sedan"
20,3.534,138,103.1,17549,147,143,25.6086957,31,101,17.2,23,4,5,"5","M",66,177.2,72.7,60.7,60.7,3574,3494,27,78279,"2003.Hyundai.Santa.Fe.Base.Current",2003,"SUV"
17,3.651,194,108.3,23999,216,211,18.8195876,15,103,18.5,20,6,5,"5","A",55.9,191.5,71.9,60.6,60.2,3651,NA,26,16666,"2003.Hyundai.XG.350.Sedan.Current",2003,"Car/Sedan"
19,3.336,260,112.2,27800,260,213,12.8307692,11,95,20,21,6,5,"5","A",57.7,186.5,69,59.4,59.6,3336,NA,26,34775,"2003.Infiniti.G35.Sport.Sedan.Current",2003,"Car/Sedan"
20,3.306,255,108.3,29100,246,213,12.9647059,15,102,18.5,22,6,5,"4","A",57,193.7,70.2,60.2,59.4,3306,NA,26,25712,"2003.Infiniti.I35.Luxury.Current",2003,"Car/Sedan"
17,3.851,340,110.2,42300,333,274,11.3264706,13,91,21.1,20,8,5,"5","A",57.6,197.2,69.7,59.4,59.4,3851,NA,23,1010,"2003.Infiniti.M45.Sedan.Current",2003,"Car/Sedan"
16,4.074,240,106.3,34750,265,213,16.975,NA,NA,21.1,18,6,5,"4","A",70.7,183.1,72.4,60.6,60.8,4074,NA,21,16938,"2003.Infiniti.QX4.4-Door.Luxury.SUV.4x2.Current",2003,"SUV"
17,3.977,340,113,52000,333,274,11.6970588,14,107,21.4,20,8,5,"5","A",58.7,199.6,72.6,62.2,61.4,3977,NA,23,3717,"2003.Infiniti.Q45.Luxury.Current",2003,"Car/Sedan"
17,4.046,280,112.2,34200,270,NA,14.45,NA,NA,23.8,NA,6,5,"5","A",65,189.1,75.8,62.7,64.6,4046,NA,23,NA,"2003.Infiniti.FX35.2WD.Current",2003,"SUV"
15,4.299,315,112.2,44225,329,NA,13.647619,NA,NA,23.8,NA,8,5,"5","A",65,189.1,75.8,62.7,64.6,4299,NA,19,NA,"2003.Infiniti.FX45.AWD.Current",2003,"SUV"
20,3.557,130,96.9,13999,144,134,27.3615385,NA,NA,15.6,22,4,5,"5","M",67.1,170.3,70.4,59.6,59.8,NA,3557,24,3745,"2003.Isuzu.Rodeo.Sport.S.2WD.Soft.Top.Current",2003,"SUV"
17,3.917,230,106.4,24345,230,213,17.0304348,NA,NA,19.5,18,6,5,"4","A",67.2,182.6,70.7,59.6,59.8,3917,NA,21,8989,"2003.Isuzu.Axiom.S.2WD.Current",2003,"Car/Sedan"
15,4.79,275,129,28649,275,256,17.4181818,NA,NA,25,17,6,7,"4","A",75.5,207.6,76.1,63.1,62.1,4790,NA,20,253,"2003.Isuzu.Ascender.S.4X2.Current",2003,"Car/Sedan"
19,3.472,192,106.7,29305,178,152,18.0833333,16,90,16,22,6,5,"5","M",54.8,183.9,70.4,59.9,60.5,3516,3428,28,33018,"2003.Jaguar.X-Type.2.5-Liter.Current",2003,"Car/Sedan"
18,3.736,240,114.5,41850,221,181,15.5666667,12,98,15,21,6,5,"5","M",56,192,71.6,60.4,60.7,3777,3695,26,15965,"2003.Jaguar.S-Type.3.0-Liter.Current",2003,"Car/Sedan"
18,3.759,294,101.9,69330,303,256,12.7857143,11,75,19.9,21,8,4,"6","A",50.5,187.4,72,59.2,59,3759,NA,26,3935,"2003.Jaguar.XK.Series.XK8.Coupe.Current",2003,"Car/Sedan"
18,3.766,294,119.4,59330,303,256,12.8095238,NA,NA,22.5,22,8,5,"6","A",57,200.4,73.2,61.3,60.9,3766,NA,28,NA,"2004.Jaguar.XJ.XJ8.Current",2004,"Car/Sedan"
18,3.235,147,93.4,16065,165,148,22.0068027,NA,NA,19,19,4,2,"5","M",70.9,155.4,66.7,58,58,NA,3235,20,64351,"2003.Jeep.Wrangler.SE.Current",2003,"Car/Sedan"
19,3.747,150,104.3,17910,167,148,24.98,NA,NA,18.5,21,4,5,"5","M",73.2,174.2,71.1,60,59.7,3846,3648,24,171212,"2003.Jeep.Liberty.Sport.2WD.Current",2003,"Car/Sedan"
16,3.786,195,105.9,26480,230,242,19.4153846,NA,NA,20.5,18,6,5,"4","A",70.3,181.6,72.6,59.5,59.5,3786,NA,21,224233,"2003.Jeep.Grand.Cherokee.Laredo.2WD.Current",2003,"SUV"
26,2.4305,104,94.9,9665,104,97,23.3701923,9,88,11.9,29,4,5,"5","M",56.7,166.9,65.9,56.4,57.1,2458,2403,33,51195,"2003.Kia.Rio.Sedan.Current",2003,"Car/Sedan"
24,2.689,124,100.8,11695,119,109,21.6854839,10,93,13.2,27,4,5,"5","M",55.7,177.6,67.7,58.1,57.3,2717,2661,32,72382,"2003.Kia.Spectra.Sedan.Current",2003,"Car/Sedan"
23,3.291,138,106.3,15500,147,144,23.8478261,13,100,17.2,25,4,5,"5","M",55.5,185.8,71.5,60.6,59.8,3301,3281,30,26793,"2003.Kia.Optima.LX.Current",2003,"Car/Sedan"
15,4.057,192,106.7,19995,217,213,21.1302083,NA,NA,21.1,17,6,5,"4","A",68.1,179.8,73.3,62.2,62.2,4057,NA,20,8451,"2003.Kia.Sorento.LX.4X2.Current",2003,"Car/Sedan"
15,4.802,195,114.6,19975,218,213,24.625641,NA,NA,19.8,17,6,7,"5","A",69.3,194.1,74.6,64.4,63.4,4802,NA,20,39088,"2003.Kia.Sedona.LX.Current",2003,"Van"
